timestamp,switch_id,porta,tx_bytes,rx_bytes,tx_pacotes,rx_pacotes
2026-06-10 00:08:21,1,1,848,426,10,5
2026-06-10 00:08:21,1,2,938,426,11,5
2026-06-10 00:08:21,1,3,918,266,11,3
2026-06-10 00:08:24,1,1,1278,516,15,6
2026-06-10 00:08:24,1,2,1278,516,15,6
2026-06-10 00:08:24,1,3,1188,516,14,6
2026-06-10 00:08:27,1,1,1488,586,18,7
2026-06-10 00:08:27,1,2,1488,586,18,7
2026-06-10 00:08:27,1,3,1398,586,17,7
2026-06-10 00:08:30,1,1,1530,212538,19,161
2026-06-10 00:08:30,1,2,1530,586,19,7
2026-06-10 00:08:30,1,3,213350,628,171,8
2026-06-10 00:08:33,1,1,1670,359418,21,301
2026-06-10 00:08:33,1,2,1530,656,19,8
2026-06-10 00:08:33,1,3,360300,628,312,8
2026-06-10 00:08:38,1,1,1712,492872,22,434
2026-06-10 00:08:38,1,2,1712,155544674,22,102882
2026-06-10 00:08:38,1,3,151707474,740,100456,10
2026-06-10 00:08:39,1,1,1782,627300,23,564
2026-06-10 00:08:39,1,2,1782,559667498,23,370159
2026-06-10 00:08:39,1,3,558207022,740,369346,10
2026-06-10 00:08:42,1,1,1782,627300,23,564
2026-06-10 00:08:42,1,2,1782,964641578,23,637999
2026-06-10 00:08:42,1,3,963187150,740,637190,10
2026-06-10 00:08:45,1,1,1782,627300,23,564
2026-06-10 00:08:45,1,2,1782,1369390370,23,905690
2026-06-10 00:08:45,1,3,1327006102,740,877811,10
2026-06-10 00:08:48,1,1,1922,627300,25,564
2026-06-10 00:08:48,1,2,1782,1774101432,23,1173357
2026-06-10 00:08:48,1,3,1327006172,740,877812,10
2026-06-10 00:08:51,1,1,1922,627300,25,564
2026-06-10 00:08:51,1,2,1852,2178721704,24,1440963
2026-06-10 00:08:51,1,3,1327006172,740,877812,10
2026-06-10 00:08:54,1,1,1992,627370,26,565
2026-06-10 00:08:54,1,2,1992,2583452352,26,1708642
2026-06-10 00:08:54,1,3,1327006312,810,877814,11
2026-06-10 00:08:57,1,1,1992,627370,26,565
2026-06-10 00:08:57,1,2,1992,2988068088,26,1976245
2026-06-10 00:08:57,1,3,1327006312,810,877814,11
2026-06-10 00:09:00,1,1,1992,627370,26,565
2026-06-10 00:09:00,1,2,1992,3392818392,26,2243937
2026-06-10 00:09:00,1,3,1327006312,810,877814,11
2026-06-10 00:09:04,1,1,1992,627370,26,565
2026-06-10 00:09:04,1,2,1992,3797623128,26,2511665
2026-06-10 00:09:04,1,3,1327006312,810,877814,11
2026-06-10 00:09:07,1,1,1992,627370,26,565
2026-06-10 00:09:07,1,2,1992,4043776728,26,2674465
2026-06-10 00:09:07,1,3,1327006312,810,877814,11
2026-06-10 00:09:10,1,1,1992,627370,26,565
2026-06-10 00:09:10,1,2,1992,4043911296,26,2674554
2026-06-10 00:09:10,1,3,1327006312,810,877814,11
2026-06-10 00:09:13,1,1,1992,627370,26,565
